epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,612.451,1.89352,2.56405,1.01613,0.68244,0.38639,0.42279,0.18116,2.50399,2.306,1.0569,0.00999333,0.00333111,0.00999333,0.00333111,0.00999333,0.00333111,0.00999333,0.00333111
2,1216.49,1.8078,1.25628,0.98713,0.67621,0.37454,0.40661,0.17365,2.59336,2.58803,1.07229,0.0195975,0.00653249,0.0195975,0.00653249,0.0195975,0.00653249,0.0195975,0.00653249
3,1876.43,1.84206,1.2382,1.00492,0.5109,0.32655,0.31964,0.14362,2.74478,3.01586,1.12297,0.0288056,0.00960186,0.0288056,0.00960186,0.0288056,0.00960186,0.0288056,0.00960186
4,2516.44,1.7947,1.19953,1.00149,0.651,0.36212,0.39276,0.16464,2.60356,2.40373,1.11667,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3143.26,1.69136,1.08177,0.97519,0.77149,0.41877,0.45468,0.1936,2.48095,2.23776,1.06144,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3767.51,1.62182,1.00142,0.95549,0.76615,0.39935,0.45215,0.20276,2.52771,2.1662,1.09192,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4391.7,1.56349,0.94954,0.94211,0.79732,0.43822,0.47129,0.21962,2.41874,2.10494,1.06062,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4979.45,1.53539,0.92442,0.93926,0.73778,0.45274,0.51552,0.23276,2.38366,2.07266,1.05719,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5538.01,1.50226,0.88672,0.92828,0.85192,0.46802,0.52628,0.24282,2.29251,2.06536,1.02671,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6092.86,1.47533,0.86425,0.92551,0.77094,0.47862,0.52388,0.25759,2.37404,2.44732,1.04893,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6638.77,1.46129,0.84925,0.91829,0.80988,0.47747,0.51735,0.25808,2.34125,2.16555,1.03217,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7187.78,1.43842,0.83222,0.9142,0.76998,0.48196,0.53587,0.26339,2.37127,2.09885,1.0426,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7732.62,1.41935,0.812,0.90896,0.87173,0.4696,0.55404,0.2808,2.26654,2.22462,1.02061,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8285.91,1.41043,0.79455,0.90787,0.80887,0.51153,0.57181,0.28529,2.25347,1.89826,1.01919,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9481.01,1.3896,0.78561,0.90601,0.88058,0.48856,0.57138,0.28707,2.26617,2.00631,1.02972,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10449.9,1.38157,0.77635,0.90213,0.87517,0.47474,0.57361,0.29957,2.20981,1.98989,1.00905,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11398.3,1.36407,0.75837,0.89986,0.82447,0.5082,0.55797,0.29369,2.24955,2.13562,1.01724,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,12399.5,1.35653,0.74772,0.9014,0.85009,0.50586,0.57856,0.29351,2.26046,2.03523,1.02587,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,13349.6,1.34667,0.74308,0.8932,0.87815,0.50497,0.57432,0.2912,2.28318,1.98766,1.02848,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,14238.1,1.33416,0.73396,0.89315,0.84574,0.52077,0.59283,0.3106,2.19203,2.02366,0.99643,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,15156.2,1.31161,0.71692,0.89,0.88131,0.53917,0.58845,0.30158,2.1596,2.02008,1.00245,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,15966.9,1.30272,0.70871,0.88711,0.87115,0.51052,0.5702,0.28905,2.24169,1.94754,1.01894,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,18206.1,1.29375,0.69971,0.88753,0.87211,0.49942,0.55971,0.29118,2.22728,2.02403,1.02021,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,20528.6,1.28989,0.69496,0.88755,0.85335,0.53254,0.5894,0.30526,2.23914,2.0085,1.0177,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,21480.4,1.2796,0.68527,0.88322,0.87119,0.50487,0.57523,0.29815,2.24555,2.15713,1.02187,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,22432.7,1.2768,0.68204,0.88477,0.84643,0.50566,0.5595,0.29047,2.25354,2.10974,1.02262,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23396.6,1.26526,0.67475,0.88038,0.85126,0.5119,0.55862,0.29682,2.21037,2.1269,1.00724,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,24355.7,1.26829,0.67088,0.87829,0.83368,0.51375,0.57232,0.30413,2.20423,2.08467,1.00337,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,25312.8,1.25443,0.66395,0.87644,0.86527,0.5327,0.5908,0.31438,2.19366,2.0784,1.00141,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,26294.1,1.23827,0.65095,0.87566,0.89536,0.53192,0.59569,0.31931,2.16986,2.04223,0.99518,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,27262,1.23851,0.65028,0.87349,0.86534,0.52785,0.59461,0.31966,2.16475,1.96346,0.99353,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,28238.5,1.23095,0.64462,0.87446,0.80053,0.53238,0.58595,0.31352,2.17078,1.9447,0.99418,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,29199.5,1.2146,0.63483,0.87127,0.75217,0.53409,0.57777,0.30808,2.17095,1.95211,0.99588,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,30151.4,1.20931,0.62507,0.86887,0.74725,0.5302,0.57598,0.30871,2.18334,1.93404,1.00145,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,31101,1.20085,0.62033,0.86927,0.76137,0.53164,0.58159,0.30966,2.17961,1.93841,1.00241,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
